YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,Silinder,TRANSMISSION,FUEL,FUELCONSUMPTION,HWY (L/100 km),COMB (L/100 km),COMB (mpg),EMISSIONS
2000,HONDA,ACCORD,MID-SIZE,3,6,A4,X,11.5,7.8,9.8,29,225
2000,HONDA,ACCORD DX,MID-SIZE,2.3,4,A4,X,10.8,7.5,9.3,30,214
2000,HONDA,ACCORD DX,MID-SIZE,2.3,4,M5,X,10.1,7.2,8.8,32,202
2000,HONDA,ACCORD EX/LX,MID-SIZE,2.3,4,A4,X,10.4,7.1,8.9,32,205
2000,HONDA,ACCORD EX/LX,MID-SIZE,2.3,4,M5,X,9.4,6.8,8.2,34,189
2000,HONDA,CIVIC COUPE Si,SUBCOMPACT,1.6,4,A4,X,9.2,6.7,8.1,35,186
2000,HONDA,CIVIC COUPE Si,SUBCOMPACT,1.6,4,M5,X,8.5,6.5,7.6,37,175
2000,HONDA,CIVIC COUPE SiR,SUBCOMPACT,1.6,4,M5,Z,9.5,7,8.4,34,193
2000,HONDA,CIVIC CX/DX/LX/EX,SUBCOMPACT,1.6,4,A4,X,8.7,6.1,7.5,38,172
2000,HONDA,CIVIC CX/DX/LX/EX,SUBCOMPACT,1.6,4,M5,X,7.6,5.8,6.8,42,156
2000,HONDA,CR-V,SUV,2,4,A4,X,11,8.9,10.1,28,232
2000,HONDA,CR-V,SUV,2,4,M5,X,11,8.9,10.1,28,232
2000,HONDA,INSIGHT,SUBCOMPACT,1,3,M5,X,3.9,3.2,3.6,78,83
2000,HONDA,ODYSSEY,MINIVAN,3.5,6,A4,X,13.3,8.5,11.1,25,255
2000,HONDA,PRELUDE,SUBCOMPACT,2.2,4,AS4,Z,11.2,8.2,9.8,29,225
2000,HONDA,PRELUDE,SUBCOMPACT,2.2,4,M5,Z,10.6,8.1,9.5,30,218
2000,HONDA,S2000,SUBCOMPACT,2,4,M6,Z,11.6,8.5,10.2,28,235
2001,HONDA,ACCORD,MID-SIZE,2.3,4,A4,X,10.4,7.2,9,31,207
2001,HONDA,ACCORD,MID-SIZE,2.3,4,M5,X,9.6,6.8,8.3,34,191
2001,HONDA,ACCORD,MID-SIZE,3,6,A4,X,11.7,7.6,9.9,29,228
2001,HONDA,CIVIC,COMPACT,1.7,4,A4,X,8,5.8,7,40,161
2001,HONDA,CIVIC,COMPACT,1.7,4,M5,X,7.4,5.7,6.6,43,152
2001,HONDA,CIVIC Si/Si-G,COMPACT,1.7,4,A4,X,8,6,7.1,40,163
2001,HONDA,CIVIC Si/Si-G,COMPACT,1.7,4,M5,X,7.7,6.2,7,40,161
2001,HONDA,CR-V,SUV,2,4,A4,X,11,8.9,10.1,28,232
2001,HONDA,CR-V,SUV,2,4,M5,X,11,8.9,10.1,28,232
2001,HONDA,INSIGHT,TWO-SEATER,1,3,M5,X,3.9,3.2,3.6,78,83
2001,HONDA,ODYSSEY,MINIVAN,3.5,6,A4,X,13.3,8.6,11.2,25,258
2001,HONDA,PRELUDE,SUBCOMPACT,2.2,4,AS4,Z,11.2,8.2,9.8,29,225
2001,HONDA,PRELUDE,SUBCOMPACT,2.2,4,M5,Z,10.6,8.1,9.5,30,218
2001,HONDA,S2000,TWO-SEATER,2,4,M6,Z,11.7,8.4,10.2,28,235
2002,HONDA,ACCORD,MID-SIZE,2.3,4,A4,X,10.2,7.1,8.8,32,202
2002,HONDA,ACCORD,MID-SIZE,2.3,4,M5,X,9.2,6.8,8.1,35,186
2002,HONDA,ACCORD,MID-SIZE,3,6,A4,X,11.6,7.8,9.9,29,228
2002,HONDA,CIVIC,COMPACT,1.7,4,A4,X,7.9,5.8,7,40,161
2002,HONDA,CIVIC,COMPACT,1.7,4,M5,X,7.3,5.5,6.5,43,150
2002,HONDA,CIVIC Si,COMPACT,1.7,4,A4,X,8.2,6.1,7.3,39,168
2002,HONDA,CIVIC Si,COMPACT,1.7,4,M5,X,7.6,6,6.9,41,159
2002,HONDA,CIVIC SiR,COMPACT,2,4,M5,X,9,7.1,8.1,35,186
2002,HONDA,CR-V 4X4,SUV,2.4,4,A4,X,10.6,8.2,9.5,30,218
2002,HONDA,CR-V 4X4,SUV,2.4,4,M5,X,11,8.6,9.9,29,228
2002,HONDA,INSIGHT,TWO-SEATER,1,3,M5,X,3.9,3.2,3.6,78,83
2002,HONDA,ODYSSEY,MINIVAN,3.5,6,A5,X,13.1,8.5,11,26,253
2002,HONDA,S2000,TWO-SEATER,2,4,M6,Z,11.6,8.2,10.1,28,232
2003,HONDA,ACCORD,MID-SIZE,2.4,4,A5,X,9.6,6.5,8.2,34,189
2003,HONDA,ACCORD,MID-SIZE,2.4,4,M5,X,9,6.4,7.8,36,179
2003,HONDA,ACCORD,MID-SIZE,3,6,A5,X,11.2,7.3,9.4,30,216
